utterance,label,speaker,meeting_id
"היי דנה, דיברנו על הצורך לשפר את תוצאות החיפוש שלנו. איך את רואה את זה?",0,יוסי,Meeting_90
אני חושבת שהגיע הזמן להטמיע מערכת להדגשת תוצאות החיפוש באופן צולם.,0,דנה,Meeting_90
זה רעיון טוב. איך נעשה את זה?,0,יוסי,Meeting_90
נצטרך לעבוד עם ה-UI/UX שלנו כדי ליצור הדגשות ברורות יותר.,0,דנה,Meeting_90
נשמע מצוין. מי יכול לקחת את זה על עצמו?,0,יוסי,Meeting_90
אני יכולה להתחיל לעבוד על זה מחר.,1,דנה,Meeting_90
"תודה, דנה. ומה לגבי תצוגת הצבע להצגת סוגי מידע שונים?",0,יוסי,Meeting_90
אני חושב שניתן ליישם את זה עם CSS ו-JavaScript כדי להבדיל בין סוגי מידע שונים.,0,גיא,Meeting_90
"נשמע טוב. גיא, תוכל להתחיל בזה?",0,יוסי,Meeting_90
"כן, אני אתחיל בזה בשבוע הבא.",1,גיא,Meeting_90
מעולה. יש לנו דדליין להשלמת המשימות?,0,יוסי,Meeting_90
אני אעשה את ההדגשות עד סוף החודש הנוכחי.,1,דנה,Meeting_90
ואני אעשה את תצוגת הצבע עד אמצע החודש הבא.,1,גיא,Meeting_90
"מצוין, תודה לשניכם על המחויבות.",0,יוסי,Meeting_90
"כמובן, יוסי. אני אתעדכן איתך אחרי הסופ""ש.",0,דנה,Meeting_90
ואני אשלח לך עדכונים על ההתקדמות שלי.,0,גיא,Meeting_90
"נהדר. אם יש בעיות, תעדכנו אותי בהקדם.",0,יוסי,Meeting_90
"אין בעיה, יוסי.",0,דנה,Meeting_90
"תודה, יוסי.",0,גיא,Meeting_90
"תודה לכולם, שיהיה יום טוב.",0,יוסי,Meeting_90
יום טוב גם לכם.,0,דנה,Meeting_90
יום טוב!,0,גיא,Meeting_90
