utterance,label,speaker,meeting_id
"היי, יש לנו אתגר חדש בפרויקט. אנחנו צריכים להעריך את העיצוב לשימוש שמאלני וימני.",0,דנה,Meeting_147
"נכון, זה יכול להשפיע על ה-UI/UX בצורה משמעותית.",0,יוסי,Meeting_147
"כן, אני מסכימה. צריך לוודא שה-layout גמיש ומותאם לשני הכיוונים.",0,דנה,Meeting_147
אנחנו יכולים לבדוק את זה עם ה-react components שלנו.,0,יוסי,Meeting_147
"מצוין, יוסי, אתה יכול לקחת את זה על עצמך?",0,דנה,Meeting_147
"כן, אני אעבור על ה-components ונתאים אותם בהתאם.",1,יוסי,Meeting_147
"תודה, יוסי. מתי תוכל לסיים את זה?",0,דנה,Meeting_147
אני חושב שאני יכול לסיים עד סוף השבוע.,0,יוסי,Meeting_147
"מעולה, אני אוסיף את זה לרשימת המשימות שלנו.",0,דנה,Meeting_147
אני חושבת שגם נצטרך לבדוק את ה-accessibility של השינויים.,0,מיכל,Meeting_147
"נכון, accessibility זה קריטי. מיכל, את יכולה לקחת את זה?",0,דנה,Meeting_147
"כן, אני אבדוק את ה-accessibility ואעדכן אתכם.",1,מיכל,Meeting_147
"תודה, מיכל. מה לגבי ה-testing של השינויים?",0,דנה,Meeting_147
אני יכול להריץ unit tests על ה-react components אחרי השינויים.,1,יוסי,Meeting_147
"יופי, יוסי. מיכל, תוודאי שה-accessibility guidelines מיושמים.",1,דנה,Meeting_147
"בהחלט, אני אעשה את זה עד יום חמישי.",0,מיכל,Meeting_147
"תודה לכולם, נעדכן בישיבה הבאה.",0,דנה,Meeting_147
"תודה, דנה. נדבר בקרוב.",0,יוסי,Meeting_147
"תודה, דנה. שיהיה יום טוב לכולם!",0,מיכל,Meeting_147
