utterance,label,speaker,meeting_id
"היי כולם, יש לנו היום כמה נושאים חשובים לדבר עליהם, במיוחד על חוויית המשתמש.",0,דני,Meeting_50
"נכון דני, אנחנו צריכים לחשוב על רעיונות עיצוב חדשניים. יש למישהו הצעות?",0,נועה,Meeting_50
אולי נתחיל בלהבין מה המשתמשים הכי מתקשים בו באפליקציה הנוכחית שלנו?,0,רועי,Meeting_50
אני מסכימה. אולי כדאי שנעשה A/B Testing כדי לראות מה עובד הכי טוב.,0,תמר,Meeting_50
"זה רעיון טוב. נועה, את יכולה לנסח כמה רעיונות עיצוב לשיפור חוויית המשתמש שלנו?",1,דני,Meeting_50
"כן, אני אעבוד על זה ואציג את הרעיונות בפגישה הבאה.",1,נועה,Meeting_50
ומה לגבי הכיוון של העוצמה והצמצום האנכי? אנחנו צריכים לזה פתרון דחוף.,0,רועי,Meeting_50
אני יכולה לבדוק את זה. אני אעשה קצת מחקר על איך להציג את זה טוב יותר.,1,תמר,Meeting_50
תודה תמר. חשוב שנמצא פתרון כמה שיותר מהר.,0,דני,Meeting_50
יש אולי עוד מישהו שיכול לעזור בנושא הזה?,0,נועה,Meeting_50
אני יכול לעזור לתמר לבדוק את זה. נתחיל בזה כבר היום.,1,רועי,Meeting_50
"מעולה, תודה רועי.",0,תמר,Meeting_50
"יופי, אז אנחנו מסודרים בנושא הזה.",0,דני,Meeting_50
אני אעבור על הנתונים של ה-User Interface כדי לראות אם יש עוד משהו שמצריך שינוי.,1,נועה,Meeting_50
כדאי גם לבדוק את ה-Feedback מהמשתמשים כדי לוודא שאנחנו בכיוון הנכון.,0,רועי,Meeting_50
אני אוסיף את זה לרשימת הבדיקות שלנו.,1,תמר,Meeting_50
"תמר ורועי, אתם יכולים לסכם את הממצאים שלכם ולהציג לנו אותם ביום חמישי?",1,דני,Meeting_50
"כן, נסיים את זה עד יום חמישי.",1,תמר,Meeting_50
"אין בעיה, נציג את הסיכום בפגישה הבאה.",1,רועי,Meeting_50
תודה לכולם על שיתוף הפעולה. אני חושבת שאנחנו מתקדמים בכיוון הנכון.,0,נועה,Meeting_50
"מצוין. אז נסכם שהמשימות של היום הן: נועה תנסח רעיונות עיצוב, תמר ורועי יבדקו את הצמצום והעוצמה.",1,דני,Meeting_50
"כן, זה מה שנעשה.",0,תמר,Meeting_50
"תודה לכולם, נמשיך לעבוד על זה ונפגש שוב ביום חמישי.",0,דני,Meeting_50
