Sample ID,Assignee Score,Action Score,Deadline Score,Prediction (Translated),Ground Truth
1,0.0,0.0,0.0,[],"[{""assignee"": ""מיכל"", ""action"": ""שילוב אספקטים של ממשק משתמש ושיווק במצגת"", ""deadline"": ""סוף היום""}, {""assignee"": ""מיכל"", ""action"": ""בדיקת פונקציונליות הלוח הלבן עם יובל"", ""deadline"": ""מחר""}, {""assignee"": ""מיכל"", ""action"": ""עדכון לגבי הוראות מהמאמן האישי"", ""deadline"": ""ברגע שיועברו""}, {""assignee"": ""רן"", ""action"": ""קביעת פגישת עדכון סטטוס"", ""deadline"": ""מחר""}, {""assignee"": ""יובל"", ""action"": ""בדיקת פונקציונליות הלוח הלבן וכלים נוספים"", ""deadline"": ""היום אחר הצהריים""}]"
2,0.0,0.0,0.0,[],"[{""assignee"": ""דניאל"", ""action"": ""לנהל ניתוח שוק על מגמות בשלטי רחוק ודרישות המשתמש"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""רונית"", ""action"": ""לקבוע אסטרטגיות תמחור ופירוט עלויות עבור השלט הרחוק ועמדת ההתחברות"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""נועה"", ""action"": ""להכין שאלונים וסיכומים לאחר הפגישה"", ""deadline"": ""מחר""}]"
3,0.0,0.0,0.0,[],"[{""assignee"": ""תמר"", ""action"": ""הכנת דוח על אופציות תאורה זמינות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""בדיקת עלויות לשילוב אורות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""קבלת הערכה ראשונית מהמהנדסים לגבי שינוי PCB"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""שליחת זימון פגישה לצוות"", ""deadline"": ""שבוע הבא""}]"
4,0.0,0.0,0.0,[],"[{""assignee"": ""יוסי"", ""action"": ""לבדוק את האופציות הקיימות בשוק לאינדיקטורים קוליים ו-LED"", ""deadline"": ""מחר""}, {""assignee"": ""רותם"", ""action"": ""לחקור עיצובים ארגונומיים לשלט הרחוק"", ""deadline"": ""מחר""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק עלויות ואפשרויות ליישום LED"", ""deadline"": ""מחר""}, {""assignee"": ""יוסי"", ""action"": ""להכין מסמך עם כל המידע הנדרש על קול ו-LED"", ""deadline"": ""מחר""}]"
5,0.0,0.0,0.0,[],"[{""assignee"": ""נאווה"", ""action"": ""בחירת תקן עיצוב Bootstrap לרכיבים"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""נאווה"", ""action"": ""שמירה על מסמכים ב-Google Drive עם גיבוי ב-Cloud"", ""deadline"": ""מיידי""}, {""assignee"": ""נאווה"", ""action"": ""סיום הצגת דגם העיצוב ושליחתו לסקירה"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""יצירת Data Recovery Plan"", ""deadline"": ""לא מוגדר""}, {""assignee"": ""נאווה"", ""action"": ""שליחת תוכנית התאוששות ליואב"", ""deadline"": ""יום ראשון""}]"
6,0.0,0.0,0.0,[],"[{""assignee"": ""יעל"", ""action"": ""איסוף פידבק מהמשתמשים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דני"", ""action"": ""בדיקת CSS להוספת שיפורים"", ""deadline"": ""סוף היום""}, {""assignee"": ""יעל"", ""action"": ""בדיקת UI responsiveness על מכשירים ישנים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דני"", ""action"": ""דיבור עם צוות ה-Backend על API integration"", ""deadline"": ""סוף היום""}, {""assignee"": ""יעל"", ""action"": ""דיבור עם ליאור על בדיקת QA"", ""deadline"": ""סוף היום""}]"
7,0.0,0.0,0.0,[],"[{""assignee"": ""אייל"", ""action"": ""לעשות מחקר על המתחרים המובילים בשוק"", ""deadline"": ""חמישי הבא""}, {""assignee"": ""דנה"", ""action"": ""לעבוד על שיפור ה-UX בגרסה הבאה"", ""deadline"": ""סוף השבוע הבא""}]"
8,0.0,0.0,0.0,[],"[{""assignee"": ""מיכל"", ""action"": ""להעביר את מסמך פגישת העיצוב המפורט הסופי לתיקיית הפרויקט"", ""deadline"": ""סוף היום""}, {""assignee"": ""רותם"", ""action"": ""להציג רעיונות לממשק משתמש במפגש הבא"", ""deadline"": ""המפגש הבא""}, {""assignee"": ""דני"", ""action"": ""לסיים את התכונות והמפרט הסופי עד סוף השבוע"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""מיכל"", ""action"": ""לשלוח עדכון על ההתקדמות בתחום מניעת קריסה ואובדן נתונים"", ""deadline"": ""מחר בבוקר""}, {""assignee"": ""רותם"", ""action"": ""לעבור על המסמך של מיכל"", ""deadline"": ""כאשר המסמך יגיע""}, {""assignee"": ""דני"", ""action"": ""לקבוע פגישה נוספת ביום חמישי"", ""deadline"": ""יום חמישי""}]"
9,0.0,0.0,0.0,[],"[{""assignee"": ""אורית"", ""action"": ""בדיקת זמינות חיבור אלחוטי"", ""deadline"": ""היום""}, {""assignee"": ""אורית"", ""action"": ""הובלת העיצוב הפונקציונלי"", ""deadline"": ""היום""}, {""assignee"": ""שרה"", ""action"": ""הובלת העיצוב המושגות"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""דני"", ""action"": ""הובלת העיצוב המפורט"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""אורית"", ""action"": ""סיכום החלטות הפגישה"", ""deadline"": ""היום""}]"
10,0.0,0.0,0.0,[],"[{""assignee"": ""דני"", ""action"": ""לקבוע את הצורך בשבב מתקדם לתצוגת LCD"", ""deadline"": ""שבועיים מעכשיו""}, {""assignee"": ""יואב"", ""action"": ""ליצור קונספט עם LCD"", ""deadline"": ""שבועיים מעכשיו""}, {""assignee"": ""ליאורה"", ""action"": ""ליצור קונספט בלעדי LCD"", ""deadline"": ""שבועיים מעכשיו""}, {""assignee"": ""דני"", ""action"": ""להציג את הקונספטים בישיבת צוות"", ""deadline"": ""שלושה שבועות מעכשיו""}]"
