Sample ID,Assignee Score,Action Score,Deadline Score,Prediction,Ground Truth,Input Preview
1,0.6,0.6,0.0,"[{""assignee"": ""מיכל"", ""action"": ""לשלוח טיוטה של המצגת עד סוף היום"", ""deadline"": ""יום""}, {""assignee"": ""יובל"", ""action"": ""לבדוק את הפונקציונליות של הלוח הלבן ולתת עדכון מחר"", ""deadline"": ""מחר""}, {""assignee"": ""מיכל"", ""action"": ""לבדוק עם המאמן את ההוראות"", ""deadline"": ""לא ידוע""}, {""assignee"": ""יובל"", ""action"": ""לבדוק את התקלות היום אחרי הצהריים"", ""deadline"": ""יום""}, {""assignee"": ""מיכל"", ""action"": ""למשיך לעבוד על המצגת"", ""deadline"": ""לא ידוע""}]","[{""assignee"": ""מיכל"", ""action"": ""שילוב אספקטים של ממשק משתמש ושיווק במצגת"", ""deadline"": ""סוף היום""}, {""assignee"": ""מיכל"", ""action"": ""בדיקת פונקציונליות הלוח הלבן עם יובל"", ""deadline"": ""מחר""}, {""assignee"": ""מיכל"", ""action"": ""עדכון לגבי הוראות מהמאמן האישי"", ""deadline"": ""ברגע שיועברו""}, {""assignee"": ""רן"", ""action"": ""קביעת פגישת עדכון סטטוס"", ""deadline"": ""מחר""}, {""assignee"": ""יובל"", ""action"": ""בדיקת פונקציונליות הלוח הלבן וכלים נוספים"", ""deadline"": ""היום אחר הצהריים""}]","רן: היי מיכל, איך אנחנו מתקדמים עם המצגת למחר? מיכל: היי רן, אני עובדת על השילוב של אספקטים של ממשק ..."
2,0.75,0.59,0.25,"[{""assignee"": ""דניאל"", ""action"": ""ניתוח שוק ואיסוף הצעות מכל הצוות"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""כינון שאלונים וסיכומים לאחר הפגישה"", ""deadline"": ""מחר בבוקר""}, {""assignee"": ""רונית"", ""action"": ""אסטרטגיות תמחור ופירוט עלויות"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""סיום הפגישה"", ""deadline"": ""כעת""}]","[{""assignee"": ""דניאל"", ""action"": ""לנהל ניתוח שוק על מגמות בשלטי רחוק ודרישות המשתמש"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""רונית"", ""action"": ""לקבוע אסטרטגיות תמחור ופירוט עלויות עבור השלט הרחוק ועמדת ההתחברות"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""נועה"", ""action"": ""להכין שאלונים וסיכומים לאחר הפגישה"", ""deadline"": ""מחר""}]","יואב: שלום לכולם, נתחיל את הפגישה. יש לנו הרבה נושאים לדבר עליהם היום. נועה: כן, אני חושבת שהכי חשוב..."
3,0.67,0.51,0.5,"[{""assignee"": ""יואב"", ""action"": ""בדוק את העלויות של האורות והעיצוב"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""אכין דוח על האופציות הזמינות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""בדוק אפשרות שינוי ב-PCB"", ""deadline"": ""השבועיים הבאים""}, {""assignee"": ""תמר"", ""action"": ""פנה למהנדסים וקבל הערכה ראשונית"", ""deadline"": ""השבועיים הבאים""}, {""assignee"": ""יואב"", ""action"": ""תאם פגישה עם כל הצוות לשבוע הבא"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""תמר"", ""action"": ""שלח זימון ביומן לפגישה"", ""deadline"": ""שבוע הבא""}]","[{""assignee"": ""תמר"", ""action"": ""הכנת דוח על אופציות תאורה זמינות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""בדיקת עלויות לשילוב אורות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""קבלת הערכה ראשונית מהמהנדסים לגבי שינוי PCB"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""שליחת זימון פגישה לצוות"", ""deadline"": ""שבוע הבא""}]","יואב: היי תמר, חשבת כבר על שילוב של אורות בעיצוב שלט הרחוק? תמר: כן, אני חושבת שזה יכול להוסיף הרבה...."
4,0.75,0.57,0.75,"[{""assignee"": ""יוסי"", ""action"": ""לבדוק את האפשרויות ליישום אינדיקטורי קול או LED"", ""deadline"": ""מחר""}, {""assignee"": ""רותם"", ""action"": ""לבדוק עיצובים ארגונומיים ולהשתמש בחומרים עם תחושה שונה"", ""deadline"": ""מחר""}, {""assignee"": ""יוסי"", ""action"": ""להכין מסמך עם כל המידע שאנחנו צריכים"", ""deadline"": ""מחר""}]","[{""assignee"": ""יוסי"", ""action"": ""לבדוק את האופציות הקיימות בשוק לאינדיקטורים קוליים ו-LED"", ""deadline"": ""מחר""}, {""assignee"": ""רותם"", ""action"": ""לחקור עיצובים ארגונומיים לשלט הרחוק"", ""deadline"": ""מחר""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק עלויות ואפשרויות ליישום LED"", ""deadline"": ""מחר""}, {""assignee"": ""יוסי"", ""action"": ""להכין מסמך עם כל המידע הנדרש על קול ו-LED"", ""deadline"": ""מחר""}]","דני: בוקר טוב לכולם, בואו נתחיל. קודם כל, אנחנו צריכים לחקור את האפשרות ליישום אינדיקטורי קול או LED..."
5,0.4,0.41,0.2,"[{""assignee"": ""נאווה"", ""action"": ""לשלוח ליואב את התוכנית להתאוששות עד יום ראשון"", ""deadline"": ""יום ראשון""}, {""assignee"": ""איתן"", ""action"": ""לבדוק את ההשלכות של קריסה ואובדן נתונים ולפתח תוכנית התאוששות"", ""deadline"": ""יום ראשון""}, {""assignee"": ""נאווה"", ""action"": ""לשתף פעולה עם צוות העיצוב ולהשתמש ב-Bootstrap לעיצוב הרכיבים"", ""deadline"": ""יום ראשון""}]","[{""assignee"": ""נאווה"", ""action"": ""בחירת תקן עיצוב Bootstrap לרכיבים"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""נאווה"", ""action"": ""שמירה על מסמכים ב-Google Drive עם גיבוי ב-Cloud"", ""deadline"": ""מיידי""}, {""assignee"": ""נאווה"", ""action"": ""סיום הצגת דגם העיצוב ושליחתו לסקירה"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""יצירת Data Recovery Plan"", ""deadline"": ""לא מוגדר""}, {""assignee"": ""נאווה"", ""action"": ""שליחת תוכנית התאוששות ליואב"", ""deadline"": ""יום ראשון""}]","יואב: אוקיי, אז אנחנו מתחילים את הפגישה. יש כמה דברים על הפרק. נאווה, את יכולה להתחיל עם התקן עיצוב?..."
6,1.0,0.77,0.4,"[{""assignee"": ""דני"", ""action"": ""עבור על ה-CSS ונראה אם יש מקום לשיפור"", ""deadline"": ""סוף היום""}, {""assignee"": ""יעל"", ""action"": ""אסוף פידבק מהמשתמשים"", ""deadline"": ""המשך השבוע""}, {""assignee"": ""יעל"", ""action"": ""בדוק את ה-Endpoints ולוודא שהכל מסונכרן"", ""deadline"": ""עד סוף היום""}, {""assignee"": ""דני"", ""action"": ""דבר עם צוות ה-Backend על ה-API integration"", ""deadline"": ""עד סוף היום""}, {""assignee"": ""יעל"", ""action"": ""דבר עם ליאור על QA"", ""deadline"": ""המשך השבוע""}]","[{""assignee"": ""יעל"", ""action"": ""איסוף פידבק מהמשתמשים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דני"", ""action"": ""בדיקת CSS להוספת שיפורים"", ""deadline"": ""סוף היום""}, {""assignee"": ""יעל"", ""action"": ""בדיקת UI responsiveness על מכשירים ישנים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דני"", ""action"": ""דיבור עם צוות ה-Backend על API integration"", ""deadline"": ""סוף היום""}, {""assignee"": ""יעל"", ""action"": ""דיבור עם ליאור על בדיקת QA"", ""deadline"": ""סוף היום""}]","דני: היי יעל, ראיתי את ה-Figma החדש. מה דעתך על העיצוב? יעל: אני חושבת שזה נראה טוב, אבל צריך לוודא ..."
7,1.0,0.77,1.0,"[{""assignee"": ""אייל"", ""action"": ""לבצע מחקר על המתחרים המובילים בתחום ה-User Interface"", ""deadline"": ""יום חמישי הבא""}, {""assignee"": ""דנה"", ""action"": ""לשפר את ה-UX של ה-Prototype"", ""deadline"": ""סוף השבוע הבא""}]","[{""assignee"": ""אייל"", ""action"": ""לעשות מחקר על המתחרים המובילים בשוק"", ""deadline"": ""חמישי הבא""}, {""assignee"": ""דנה"", ""action"": ""לעבוד על שיפור ה-UX בגרסה הבאה"", ""deadline"": ""סוף השבוע הבא""}]","אייל: היי דנה, שמעת על הטרנדים החדשים בשוק לעיצוב שלט השליטה? דנה: כן, ראיתי שהרבה חברות מתמקדות ב-U..."
10,0.5,0.41,0.0,"[{""assignee"": ""יואב"", ""action"": ""לבחור סרט מרכזי או פופולארי משנות ה-90"", ""deadline"": ""יום ראשון""}, {""assignee"": ""ליאורה"", ""action"": ""לבדוק את ה-user experience וה-performance של המערכת"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דני"", ""action"": ""להתחיל לעבוד על מבחן המוצר"", ""deadline"": ""יום חמישי""}]","[{""assignee"": ""דני"", ""action"": ""לקבוע את הצורך בשבב מתקדם לתצוגת LCD"", ""deadline"": ""שבועיים מעכשיו""}, {""assignee"": ""יואב"", ""action"": ""ליצור קונספט עם LCD"", ""deadline"": ""שבועיים מעכשיו""}, {""assignee"": ""ליאורה"", ""action"": ""ליצור קונספט בלעדי LCD"", ""deadline"": ""שבועיים מעכשיו""}, {""assignee"": ""דני"", ""action"": ""להציג את הקונספטים בישיבת צוות"", ""deadline"": ""שלושה שבועות מעכשיו""}]","דני: צריך להתחיל לעבוד על מבחן המוצר בקרוב. ליאורה: נכון, אני מציעה שנתחיל עם בדיקת ה-user experienc..."
11,0.67,0.49,0.0,"[{""assignee"": ""נועה"", ""action"": ""לחקור עומקית את הנתונים על עדפות הצבעים של המשתמשים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""קייט וקנדרה"", ""action"": ""להציג מודל ראשוני לדיון נוסף"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""גיא"", ""action"": ""לבדוק את התגובות על הפיצ'ר החדש בגרסת הבטא"", ""deadline"": ""סוף השבוע""}]","[{""assignee"": ""נועה"", ""action"": ""להעריך את העדפות המשתמשים באפשרויות צבע לשלט הרחוק"", ""deadline"": ""10/11/2023""}, {""assignee"": ""קייט וקנדרה"", ""action"": ""לייצר מודל לצורך ביקורת ודיון נוסף"", ""deadline"": ""17/11/2023""}]","דני: היי, כולם. הבוקר אנחנו צריכים לדבר על ה-UX של האפליקציה שלנו. נועה: כן, במיוחד על העדפות המשתמש..."
12,0.83,0.89,0.83,"[{""assignee"": ""דנה"", ""action"": ""כתיבת Unit Tests"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יוסי"", ""action"": ""Deployment"", ""deadline"": ""יום ראשון""}, {""assignee"": ""דנה"", ""action"": ""תיעדוף על Bug List"", ""deadline"": ""לא ידוע""}, {""assignee"": ""יוסי"", ""action"": ""Code Review"", ""deadline"": ""יום שני""}, {""assignee"": ""דנה"", ""action"": ""כינון דוח סטטוס"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דנה"", ""action"": ""הצעות לשיפור UI"", ""deadline"": ""מחר""}]","[{""assignee"": ""דנה"", ""action"": ""כתיבת Unit Tests"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דנה"", ""action"": ""התחלת Deployment"", ""deadline"": ""יום ראשון""}, {""assignee"": ""דנה"", ""action"": ""תיעדוף Bug List"", ""deadline"": ""לא צוין""}, {""assignee"": ""יוסי"", ""action"": ""ביצוע Code Review"", ""deadline"": ""יום שני""}, {""assignee"": ""דנה"", ""action"": ""הכנת דוח סטטוס"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דנה"", ""action"": ""שליחת מסמך עם הצעות לשיפור UI"", ""deadline"": ""מחר""}]","יוסי: היי דנה, מה קורה? חשבתי שנדבר על ה-API החדש שאנחנו מפתחים. דנה: היי יוסי, בטח. קיבלתי את ה-Spe..."
