Sample ID,Assignee Score,Action Score,Deadline Score,Prediction,Ground Truth
3,0.0,0.14,0.0,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""תמר"", ""action"": ""הכנת דוח על אופציות תאורה זמינות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""בדיקת עלויות לשילוב אורות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""קבלת הערכה ראשונית מהמהנדסים לגבי שינוי PCB"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""תמר"", ""action"": ""שליחת זימון פגישה לצוות"", ""deadline"": ""שבוע הבא""}]"
5,0.0,0.11,0.0,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""נאווה"", ""action"": ""בחירת תקן עיצוב Bootstrap לרכיבים"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""נאווה"", ""action"": ""שמירה על מסמכים ב-Google Drive עם גיבוי ב-Cloud"", ""deadline"": ""מיידי""}, {""assignee"": ""נאווה"", ""action"": ""סיום הצגת דגם העיצוב ושליחתו לסקירה"", ""deadline"": ""עד סוף השבוע""}, {""assignee"": ""יואב"", ""action"": ""יצירת Data Recovery Plan"", ""deadline"": ""לא מוגדר""}, {""assignee"": ""נאווה"", ""action"": ""שליחת תוכנית התאוששות ליואב"", ""deadline"": ""יום ראשון""}]"
7,1.0,0.84,1.0,"[{""assignee"": ""אייל"", ""action"": ""לעשות מחקר על המתחרים המובילים"", ""deadline"": ""יום חמישי הבא""}, {""assignee"": ""דנה"", ""action"": ""לתעבד על ה-UX"", ""deadline"": ""סוף השבוע הבא""}]","[{""assignee"": ""אייל"", ""action"": ""לעשות מחקר על המתחרים המובילים בשוק"", ""deadline"": ""חמישי הבא""}, {""assignee"": ""דנה"", ""action"": ""לעבוד על שיפור ה-UX בגרסה הבאה"", ""deadline"": ""סוף השבוע הבא""}]"
9,0.0,0.12,0.0,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""אורית"", ""action"": ""בדיקת זמינות חיבור אלחוטי"", ""deadline"": ""היום""}, {""assignee"": ""אורית"", ""action"": ""הובלת העיצוב הפונקציונלי"", ""deadline"": ""היום""}, {""assignee"": ""שרה"", ""action"": ""הובלת העיצוב המושגות"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""דני"", ""action"": ""הובלת העיצוב המפורט"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""אורית"", ""action"": ""סיכום החלטות הפגישה"", ""deadline"": ""היום""}]"
14,0.75,0.69,0.5,"[{""assignee"": ""יוסי"", ""action"": ""לחקור נקודות חולשה של שלטי רחוק נוכחיים"", ""deadline"": ""השבוע""}, {""assignee"": ""רונית"", ""action"": ""לחקור את האפשרות לכלול מכשיר הכוונה לאיתור שלט הרחוק האבוד"", ""deadline"": ""אחרי שאני אסיים עם הפרויקט הנוכחי""}, {""assignee"": ""יוסי"", ""action"": ""להכין דוח על האפשרויות לצ'יפ המתקדם"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""יוסי"", ""action"": ""לשלוח עדכון על השפעת העלויות של צ'יפ מתקדם על המחיר הסופי של המוצר"", ""deadline"": ""סוף השבוע""}]","[{""assignee"": ""יוסי"", ""action"": ""חקור ונתח נקודות חולשה של שלטי רחוק נוכחיים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""חקור את האפשרות לכלול מכשיר הכוונה לאיתור שלט הרחוק האבוד"", ""deadline"": ""לאחר סיום הפרויקט הנוכחי""}, {""assignee"": ""יוסי"", ""action"": ""הכין דוח על האפשרויות לצ'יפ המתקדם"", ""deadline"": ""שבוע הבא""}]"
16,0.0,0.15,0.33,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""דני"", ""action"": ""בדיקת עלויות סוללה קינטית"", ""deadline"": ""מחר בצהריים""}, {""assignee"": ""נועה"", ""action"": ""חקירת תארכות דמות דובר בדפדוף"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דני"", ""action"": ""חקר הפוטנציאל השוקי של המוצר"", ""deadline"": ""סוף השבוע""}]"
18,0.22,0.16,0.11,"[{""assignee"": ""יוסי"", ""action"": ""להעריך את הביקוש השוקי לשלט הרחוק החדש שלנו"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יוסי"", ""action"": ""לסיים את זה עד סוף השבוע"", ""deadline"": ""יום חמישי""}, {""assignee"": ""דני"", ""action"": ""לתאם את הגעתה של פאולה בשבוע הבא"", ""deadline"": ""יום שני""}, {""assignee"": ""יוסי"", ""action"": ""להקצות לפאולה חדר"", ""deadline"": ""יום שלישי""}, {""assignee"": ""דני"", ""action"": ""לבדוק עם מחלקת הלוגיסטיקה אם יש חדר פנוי"", ""deadline"": ""יום שני""}, {""assignee"": ""יוסי"", ""action"": ""לעשות את זה עד יום שני"", ""deadline"": ""יום שני""}, {""assignee"": ""יוסי"", ""action"": ""לעדכן את כולם על כל התקדמות"", ""deadline"": ""יום שני""}, {""assignee"": ""יוסי"", ""action"": ""לשלח עדכון במייל"", ""deadline"": ""יום שני""}, {""assignee"": ""יוסי"", ""action"": ""לעדכן אם צריך עזרה"", ""deadline"": ""יום שני""}]","[{""assignee"": ""יוסי"", ""action"": ""לנתח את הנתונים הקיימים להערכת הביקוש השוקי לשלט"", ""deadline"": ""חמישי""}, {""assignee"": ""דני"", ""action"": ""לתאם עם מחלקת הלוגיסטיקה להקצאת חדר לפאולה"", ""deadline"": ""שני""}]"
20,0.0,0.13,0.0,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""שרה"", ""action"": ""לנתח את ההשפעה הכלכלית של כל נקודת מחיר"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק איך השינויים ישפיעו על ה-UI/UX"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק אפשרויות קיימות לשילוב מכשירי מעקב"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""שרה"", ""action"": ""לבדוק פתרונות נוספים כמו אפליקציות לנייד"", ""deadline"": ""סוף השבוע""}]"
21,0.0,0.11,0.0,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""מיכל"", ""action"": ""לבדוק את השימוש ב-Python"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""לעבוד על ה-design system"", ""deadline"": ""בעוד שבוע""}, {""assignee"": ""מיכל"", ""action"": ""לעשות performance testing על ה-database"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""לעבוד על הפיצ'ר של ה-notifications עם יוסי"", ""deadline"": ""בשבוע הבא""}]"
23,0.0,0.15,0.0,"[{""assignee"": ""יוסי"", ""action"": ""להכין את המצגת"", ""deadline"": ""מחר""}]","[{""assignee"": ""יוסי"", ""action"": ""לבדוק את עלות ה-LCD"", ""deadline"": ""חמישי""}, {""assignee"": ""נועה"", ""action"": ""לבדוק את פונקציונליות ותומך המשתמש של עיצובי הפרוטוטייפ"", ""deadline"": ""ראשון""}, {""assignee"": ""נועה"", ""action"": ""לערוך סיעור מוחות על צורות מעוגלות ומהפכניות לעיצוב"", ""deadline"": ""רביעי""}]"
